provider,case_id,case_hash,expected,B_answer,B_correct,D_answer,D_correct,O_answer,O_correct,solved_by_both,T_condition,T_answer,T_correct,corrupted_final_label,label_dependence_case,derivation_dependence_case,transmission_survival_case,pure_transmission_loss_case,transmission_rescue_case,failure_family
openai_gpt_4_1_mini,rule_0020,028f0965f81224eb6f1dac19,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0020,028f0965f81224eb6f1dac19,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0020,028f0965f81224eb6f1dac19,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0020,028f0965f81224eb6f1dac19,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0006,05f26001a75318c7df40a854,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0006,05f26001a75318c7df40a854,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0006,05f26001a75318c7df40a854,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0006,05f26001a75318c7df40a854,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0008,07e63b0de76a8b80272d382d,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0008,07e63b0de76a8b80272d382d,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0008,07e63b0de76a8b80272d382d,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0008,07e63b0de76a8b80272d382d,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0000,11de64e986d4aacba3d39208,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0000,11de64e986d4aacba3d39208,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0000,11de64e986d4aacba3d39208,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0000,11de64e986d4aacba3d39208,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,no,False,yes,False,yes,False,False,T_oracle_corrupt_final,no,False,yes,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final,no,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final_no_active,no,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,no,False,yes,False,yes,False,False,T_oracle_text,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0016,1e2c3650537752ef360f9141,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0016,1e2c3650537752ef360f9141,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0016,1e2c3650537752ef360f9141,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0016,1e2c3650537752ef360f9141,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0029,2a94ed032a4c5835ec4bd31f,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0029,2a94ed032a4c5835ec4bd31f,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0029,2a94ed032a4c5835ec4bd31f,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0029,2a94ed032a4c5835ec4bd31f,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0026,31c8e5e4e6781925f24dc3c5,no,no,True,no,True,yes,False,False,T_oracle_corrupt_final,no,True,conflict,False,True,False,False,True,
openai_gpt_4_1_mini,rule_0026,31c8e5e4e6781925f24dc3c5,no,no,True,no,True,yes,False,False,T_oracle_no_final,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0026,31c8e5e4e6781925f24dc3c5,no,no,True,no,True,yes,False,False,T_oracle_no_final_no_active,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0026,31c8e5e4e6781925f24dc3c5,no,no,True,no,True,yes,False,False,T_oracle_text,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0009,3d03fa6e05c41d97f2da962e,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0009,3d03fa6e05c41d97f2da962e,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0009,3d03fa6e05c41d97f2da962e,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0009,3d03fa6e05c41d97f2da962e,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0015,4add57c27574231d9ae49604,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0015,4add57c27574231d9ae49604,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0015,4add57c27574231d9ae49604,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0015,4add57c27574231d9ae49604,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0007,52f2ae2c74ae57a88f330b6c,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0007,52f2ae2c74ae57a88f330b6c,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0007,52f2ae2c74ae57a88f330b6c,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0007,52f2ae2c74ae57a88f330b6c,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0021,584d03a1d90c535aa8e41271,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0021,584d03a1d90c535aa8e41271,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0021,584d03a1d90c535aa8e41271,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0021,584d03a1d90c535aa8e41271,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0027,59915d2bf18e5051db5b9365,conflict,no,False,no,False,no,False,False,T_oracle_corrupt_final,no,False,yes,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0027,59915d2bf18e5051db5b9365,conflict,no,False,no,False,no,False,False,T_oracle_no_final,no,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0027,59915d2bf18e5051db5b9365,conflict,no,False,no,False,no,False,False,T_oracle_no_final_no_active,no,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0027,59915d2bf18e5051db5b9365,conflict,no,False,no,False,no,False,False,T_oracle_text,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0025,5fedca429a7ecda9618b5d87,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0025,5fedca429a7ecda9618b5d87,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0025,5fedca429a7ecda9618b5d87,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0025,5fedca429a7ecda9618b5d87,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0011,603c7f2f3c7972757fadc2ed,conflict,no,False,no,False,yes,False,False,T_oracle_corrupt_final,conflict,True,yes,False,True,False,False,True,
openai_gpt_4_1_mini,rule_0011,603c7f2f3c7972757fadc2ed,conflict,no,False,no,False,yes,False,False,T_oracle_no_final,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0011,603c7f2f3c7972757fadc2ed,conflict,no,False,no,False,yes,False,False,T_oracle_no_final_no_active,no,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0011,603c7f2f3c7972757fadc2ed,conflict,no,False,no,False,yes,False,False,T_oracle_text,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,no,False,yes,False,yes,False,False,T_oracle_corrupt_final,conflict,True,yes,False,True,False,False,True,
openai_gpt_4_1_mini,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final,no,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final_no_active,no,False,,False,False,False,False,False,conflict_collapse
