provider,case_id,case_hash,expected,B_answer,B_correct,D_answer,D_correct,O_answer,O_correct,solved_by_both,T_condition,T_answer,T_correct,transmission_survival_case,pure_transmission_loss_case,transmission_rescue_case,failure_family
openai_gpt_4_1_mini,rule_0012,1454cd910d785d4807d740ab,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0012,1454cd910d785d4807d740ab,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0012,1454cd910d785d4807d740ab,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0028,1e023873a1efcd2ca7f6dba2,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0028,1e023873a1efcd2ca7f6dba2,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0028,1e023873a1efcd2ca7f6dba2,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0021,26c7e313f521c7e2b6af0f60,yes,no,False,no,False,no,False,False,T,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0021,26c7e313f521c7e2b6af0f60,yes,no,False,no,False,no,False,False,T_factlocked,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0021,26c7e313f521c7e2b6af0f60,yes,no,False,no,False,no,False,False,T_oracle_text,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0008,2c3446a8ccba5cedb87a5d6a,yes,no,False,yes,True,yes,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0008,2c3446a8ccba5cedb87a5d6a,yes,no,False,yes,True,yes,True,True,T_factlocked,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0008,2c3446a8ccba5cedb87a5d6a,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0004,2ff9a179a201f7354353c6bc,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0004,2ff9a179a201f7354353c6bc,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0004,2ff9a179a201f7354353c6bc,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0018,353a8718a9f5e54474eb73df,conflict,no,False,no,False,no,False,False,T,yes,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0018,353a8718a9f5e54474eb73df,conflict,no,False,no,False,no,False,False,T_factlocked,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0018,353a8718a9f5e54474eb73df,conflict,no,False,no,False,no,False,False,T_oracle_text,conflict,True,False,False,True,
